2022-05-20 13:05:919 INFO  Buypage :85 - Select any make Bentleyinto make field [[ChromeDriver: chrome on WINDOWS (d6a2162a5f2d394a4f63428406977e59)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:894 INFO  Buypage :90 - Select any model Continentalinto model field [[ChromeDriver: chrome on WINDOWS (d6a2162a5f2d394a4f63428406977e59)] -> xpath: //select[@id='models']]
2022-05-20 13:05:955 INFO  Buypage :95 - Select any location Any Locationinto location field [[ChromeDriver: chrome on WINDOWS (d6a2162a5f2d394a4f63428406977e59)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:23 INFO  Buypage :100 - Select price Price (max)into price field [[ChromeDriver: chrome on WINDOWS (d6a2162a5f2d394a4f63428406977e59)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:946 INFO  Buypage :105 - Click on find my next car [[ChromeDriver: chrome on WINDOWS (d6a2162a5f2d394a4f63428406977e59)] -> xpath: //input[@id='search-submit']]
2022-05-20 13:05:978 INFO  Buypage :108 - Getting text from my make [[ChromeDriver: chrome on WINDOWS (d6a2162a5f2d394a4f63428406977e59)] -> xpath: //h1[@class='listing-search-title']]
2022-05-20 13:05:870 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:881 INFO  Buypage :70 - Mousehover to buy and sell [[ChromeDriver: chrome on WINDOWS (402133db4e1cff002235d4642a9e0a42)] -> xpath: //a[normalize-space()='buy + sell']]
2022-05-20 13:05:881 INFO  Buypage :75 - Click on search button [[ChromeDriver: chrome on WINDOWS (402133db4e1cff002235d4642a9e0a42)] -> xpath: //a[normalize-space()='Search Cars']]
2022-05-20 13:05:31 INFO  Buypage :79 - Getting text from element [[ChromeDriver: chrome on WINDOWS (402133db4e1cff002235d4642a9e0a42)] -> xpath: //div[contains(@class,'heading main-heading item-ad-wrapper')]//h1]
2022-05-20 13:05:313 INFO  Buypage :85 - Select any make Kiainto make field [[ChromeDriver: chrome on WINDOWS (402133db4e1cff002235d4642a9e0a42)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:492 INFO  Buypage :90 - Select any model Optimainto model field [[ChromeDriver: chrome on WINDOWS (402133db4e1cff002235d4642a9e0a42)] -> xpath: //select[@id='models']]
2022-05-20 13:05:651 INFO  Buypage :95 - Select any location NSW - Allinto location field [[ChromeDriver: chrome on WINDOWS (402133db4e1cff002235d4642a9e0a42)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:772 INFO  Buypage :100 - Select price $45,000into price field [[ChromeDriver: chrome on WINDOWS (402133db4e1cff002235d4642a9e0a42)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:893 INFO  Buypage :105 - Click on find my next car [[ChromeDriver: chrome on WINDOWS (402133db4e1cff002235d4642a9e0a42)] -> xpath: //input[@id='search-submit']]
2022-05-20 13:05:249 INFO  Buypage :108 - Getting text from my make [[ChromeDriver: chrome on WINDOWS (402133db4e1cff002235d4642a9e0a42)] -> xpath: //h1[@class='listing-search-title']]
2022-05-20 13:05:151 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:249 INFO  Buypage :70 - Mousehover to buy and sell [[ChromeDriver: chrome on WINDOWS (ef17ec1ff1dcbb8b13a01b0e913e0710)] -> xpath: //a[normalize-space()='buy + sell']]
2022-05-20 13:05:873 INFO  Buypage :75 - Click on search button [[ChromeDriver: chrome on WINDOWS (ef17ec1ff1dcbb8b13a01b0e913e0710)] -> xpath: //a[normalize-space()='Search Cars']]
2022-05-20 13:05:196 INFO  Buypage :79 - Getting text from element [[ChromeDriver: chrome on WINDOWS (ef17ec1ff1dcbb8b13a01b0e913e0710)] -> xpath: //div[contains(@class,'heading main-heading item-ad-wrapper')]//h1]
2022-05-20 13:05:423 INFO  Buypage :85 - Select any make Jaguarinto make field [[ChromeDriver: chrome on WINDOWS (ef17ec1ff1dcbb8b13a01b0e913e0710)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:633 INFO  Buypage :90 - Select any model XEinto model field [[ChromeDriver: chrome on WINDOWS (ef17ec1ff1dcbb8b13a01b0e913e0710)] -> xpath: //select[@id='models']]
2022-05-20 13:05:762 INFO  Buypage :95 - Select any location NSW - Central Coastinto location field [[ChromeDriver: chrome on WINDOWS (ef17ec1ff1dcbb8b13a01b0e913e0710)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:888 INFO  Buypage :100 - Select price $90,000into price field [[ChromeDriver: chrome on WINDOWS (ef17ec1ff1dcbb8b13a01b0e913e0710)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:456 INFO  Buypage :105 - Click on find my next car [[ChromeDriver: chrome on WINDOWS (ef17ec1ff1dcbb8b13a01b0e913e0710)] -> xpath: //input[@id='search-submit']]
2022-05-20 13:05:814 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:172 INFO  Buypage :70 - Mousehover to buy and sell [[ChromeDriver: chrome on WINDOWS (017cee9238bad0db8ef3209d3249cd74)] -> xpath: //a[normalize-space()='buy + sell']]
2022-05-20 13:05:790 INFO  Buypage :117 - Click on used car [[ChromeDriver: chrome on WINDOWS (017cee9238bad0db8ef3209d3249cd74)] -> xpath: //a[normalize-space()='Used']]
2022-05-20 13:05:841 INFO  Buypage :79 - Getting text from element [[ChromeDriver: chrome on WINDOWS (017cee9238bad0db8ef3209d3249cd74)] -> xpath: //div[contains(@class,'heading main-heading item-ad-wrapper')]//h1]
2022-05-20 13:05:50 INFO  Buypage :85 - Select any make Hyundaiinto make field [[ChromeDriver: chrome on WINDOWS (017cee9238bad0db8ef3209d3249cd74)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:263 INFO  Buypage :90 - Select any model Coupeinto model field [[ChromeDriver: chrome on WINDOWS (017cee9238bad0db8ef3209d3249cd74)] -> xpath: //select[@id='models']]
2022-05-20 13:05:357 INFO  Buypage :95 - Select any location Any Locationinto location field [[ChromeDriver: chrome on WINDOWS (017cee9238bad0db8ef3209d3249cd74)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:594 INFO  Buypage :100 - Select price $25,000into price field [[ChromeDriver: chrome on WINDOWS (017cee9238bad0db8ef3209d3249cd74)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:855 INFO  Buypage :105 - Click on find my next car [[ChromeDriver: chrome on WINDOWS (017cee9238bad0db8ef3209d3249cd74)] -> xpath: //input[@id='search-submit']]
2022-05-20 13:05:921 INFO  Buypage :108 - Getting text from my make [[ChromeDriver: chrome on WINDOWS (017cee9238bad0db8ef3209d3249cd74)] -> xpath: //h1[@class='listing-search-title']]
2022-05-20 13:05:128 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:649 INFO  Buypage :70 - Mousehover to buy and sell [[ChromeDriver: chrome on WINDOWS (a82a5d8f207b3bfa7427c6602fcfae00)] -> xpath: //a[normalize-space()='buy + sell']]
2022-05-20 13:05:464 INFO  Buypage :117 - Click on used car [[ChromeDriver: chrome on WINDOWS (a82a5d8f207b3bfa7427c6602fcfae00)] -> xpath: //a[normalize-space()='Used']]
2022-05-20 13:05:773 INFO  Buypage :79 - Getting text from element [[ChromeDriver: chrome on WINDOWS (a82a5d8f207b3bfa7427c6602fcfae00)] -> xpath: //div[contains(@class,'heading main-heading item-ad-wrapper')]//h1]
2022-05-20 13:05:965 INFO  Buypage :85 - Select any make Fordinto make field [[ChromeDriver: chrome on WINDOWS (a82a5d8f207b3bfa7427c6602fcfae00)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:117 INFO  Buypage :90 - Select any model Corsairinto model field [[ChromeDriver: chrome on WINDOWS (a82a5d8f207b3bfa7427c6602fcfae00)] -> xpath: //select[@id='models']]
2022-05-20 13:05:238 INFO  Buypage :95 - Select any location Any Locationinto location field [[ChromeDriver: chrome on WINDOWS (a82a5d8f207b3bfa7427c6602fcfae00)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:350 INFO  Buypage :100 - Select price $25,000into price field [[ChromeDriver: chrome on WINDOWS (a82a5d8f207b3bfa7427c6602fcfae00)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:511 INFO  Buypage :105 - Click on find my next car [[ChromeDriver: chrome on WINDOWS (a82a5d8f207b3bfa7427c6602fcfae00)] -> xpath: //input[@id='search-submit']]
2022-05-20 13:05:867 INFO  Buypage :108 - Getting text from my make [[ChromeDriver: chrome on WINDOWS (a82a5d8f207b3bfa7427c6602fcfae00)] -> xpath: //h1[@class='listing-search-title']]
2022-05-20 13:05:812 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:193 INFO  Buypage :70 - Mousehover to buy and sell [[ChromeDriver: chrome on WINDOWS (36320710d373623dd6410e7f42ce3c12)] -> xpath: //a[normalize-space()='buy + sell']]
2022-05-20 13:05:262 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:388 INFO  Buypage :70 - Mousehover to buy and sell [[ChromeDriver: chrome on WINDOWS (71fe32d3f8144beebc55165d5e4f0bfb)] -> xpath: //a[normalize-space()='buy + sell']]
2022-05-20 13:05:79 INFO  Buypage :117 - Click on used car [[ChromeDriver: chrome on WINDOWS (71fe32d3f8144beebc55165d5e4f0bfb)] -> xpath: //a[normalize-space()='Used']]
2022-05-20 13:05:600 INFO  Buypage :79 - Getting text from element [[ChromeDriver: chrome on WINDOWS (71fe32d3f8144beebc55165d5e4f0bfb)] -> xpath: //div[contains(@class,'heading main-heading item-ad-wrapper')]//h1]
2022-05-20 13:05:831 INFO  Buypage :85 - Select any make Kiainto make field [[ChromeDriver: chrome on WINDOWS (71fe32d3f8144beebc55165d5e4f0bfb)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:15 INFO  Buypage :90 - Select any model Ceratointo model field [[ChromeDriver: chrome on WINDOWS (71fe32d3f8144beebc55165d5e4f0bfb)] -> xpath: //select[@id='models']]
2022-05-20 13:05:90 INFO  Buypage :95 - Select any location Any Locationinto location field [[ChromeDriver: chrome on WINDOWS (71fe32d3f8144beebc55165d5e4f0bfb)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:261 INFO  Buypage :100 - Select price $45,000into price field [[ChromeDriver: chrome on WINDOWS (71fe32d3f8144beebc55165d5e4f0bfb)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:806 INFO  Buypage :105 - Click on find my next car [[ChromeDriver: chrome on WINDOWS (71fe32d3f8144beebc55165d5e4f0bfb)] -> xpath: //input[@id='search-submit']]
2022-05-20 13:05:152 INFO  Buypage :108 - Getting text from my make [[ChromeDriver: chrome on WINDOWS (71fe32d3f8144beebc55165d5e4f0bfb)] -> xpath: //h1[@class='listing-search-title']]
2022-05-20 13:05:133 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:386 INFO  Buypage :70 - Mousehover to buy and sell [[ChromeDriver: chrome on WINDOWS (1534b0b413b76e912a3e222e172ffb5c)] -> xpath: //a[normalize-space()='buy + sell']]
2022-05-20 13:05:81 INFO  Buypage :117 - Click on used car [[ChromeDriver: chrome on WINDOWS (1534b0b413b76e912a3e222e172ffb5c)] -> xpath: //a[normalize-space()='Used']]
2022-05-20 13:05:399 INFO  Buypage :79 - Getting text from element [[ChromeDriver: chrome on WINDOWS (1534b0b413b76e912a3e222e172ffb5c)] -> xpath: //div[contains(@class,'heading main-heading item-ad-wrapper')]//h1]
2022-05-20 13:05:587 INFO  Buypage :85 - Select any make Suzukiinto make field [[ChromeDriver: chrome on WINDOWS (1534b0b413b76e912a3e222e172ffb5c)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:739 INFO  Buypage :90 - Select any model Carryinto model field [[ChromeDriver: chrome on WINDOWS (1534b0b413b76e912a3e222e172ffb5c)] -> xpath: //select[@id='models']]
2022-05-20 13:05:808 INFO  Buypage :95 - Select any location Any Locationinto location field [[ChromeDriver: chrome on WINDOWS (1534b0b413b76e912a3e222e172ffb5c)] -> xpath: //select[@id='locations']]
2022-05-20 13:05:927 INFO  Buypage :100 - Select price $35,000into price field [[ChromeDriver: chrome on WINDOWS (1534b0b413b76e912a3e222e172ffb5c)] -> xpath: //select[@id='priceTo']]
2022-05-20 13:05:74 INFO  Buypage :105 - Click on find my next car [[ChromeDriver: chrome on WINDOWS (1534b0b413b76e912a3e222e172ffb5c)] -> xpath: //input[@id='search-submit']]
2022-05-20 13:05:967 INFO  Buypage :108 - Getting text from my make [[ChromeDriver: chrome on WINDOWS (1534b0b413b76e912a3e222e172ffb5c)] -> xpath: //h1[@class='listing-search-title']]
